English,Translation
I got up at six-thirty this morning.,আমি আজ সকাল ছটা তিরিশে উঠেছি।
I have a tattoo on my left shoulder.,আমার বাঁ কাঁধে একটা উল্কি আছে।
I know you don't want to talk to me.,আমি জানি তুমি আমার সাথে কথা বলতে চাও না।
I know you don't want to talk to me.,আমি জানি যে তুমি আমার সাথে কথা বলতে চাও না।
I lost my key somewhere around here.,আমি এই কাছাকাছির মধ্যেই কোথাও আমার চাবি হারিয়ে ফেলেছি।
I lost my key somewhere around here.,আমি এই আশেপাশেই কোথাও আমার চাবি হারিয়ে ফেলেছি।
I must've lost my key along the way.,আমি নিশ্চই আমার চাবিটা রাস্তায় হারিয়ে ফেলেছি।
I need to speak with you right away.,আমার এখুনি তোমার সাথে কথা বলা দরকার।
I think Tom is Mary's older brother.,আমার মনে হয় টম মেরির বড়ো ভাই।
I told Tom I wouldn't do that again.,আমি টমকে বলেছিলাম যে আমি আর এটা করব না।
I used to be able to play that song.,আমি ওই গানটা বাজাতে পারতাম।
I used to be able to sing that song.,আমি ওই গানটা গাইতে পারতাম।
I want to know who's coming with us.,আমি জানতে চাই কে আমাদের সাথে আসছে।
I'll finish reading this novel soon.,শীঘ্রই এই উপন্যাসটি পড়া শেষ করব।
I'm getting off at the next station.,আমি পরের স্টেশনে নেমে যাচ্ছি।
I'm going to study French next year.,আমি পরের বছর ফরাসি শিখবো।
I'm not sure that I've got it right.,আমি নিশ্চিত নই যে আমি এটা ঠিক করেছি।
"I'm sorry, but I don't speak French.","আমি দুঃখিত, কিন্তু আমি ফরাসি বলতে পারি না।"
If I am busy then I may arrive late.,আমি যদি ব্যস্ত থাকি তাহলে হয়ত দেরি করে ফিরতে পারি।
Let's listen to what Tom has to say.,টমের কি বলার আছে শোনা যাক।
Look at the girl with the long hair.,লম্বা চুলের মেয়েটির দিকে তাকান।
Maybe you should go to the hospital.,আপনার হয়তো হাসপাতালে যাওয়া উচিত।
My mother carefully opened the door.,আমার মা সতর্কতার সাথে দরজাটি খুলেছিল।
Noodles are usually made from wheat.,নুডলস সাধারণত ময়দা দিয়ে তৈরি হয়।
Nothing is darker than a black hole.,কৃষ্ণগহ্বরের চেয়ে অন্ধকার কিছু নেই।
Patience is essential for a teacher.,একজন শিক্ষকের জন্য ধৈর্য্য অত্যাবশ্যক।
"Recently, Tom seems to be very busy.",সম্প্রতি টমকে খুব ব্যস্ত মনে হচ্ছে।
Refrigerators help to preserve food.,রেফ্রিজারেটর খাবার সংরক্ষণে সাহায্য করে।
Return this book as soon as you can.,যত তাড়াতাড়ি পারেন এই বইটি ফেরত দিন।
Robots are used to manufacture cars.,গাড়ি তৈরিতে রোবট ব্যবহার করা হয়।
She couldn't hold back her laughter.,সে তার হাসি ধরে রাখতে পারেনি।
Tell me the reason why he was fired.,কেন তাকে চাকরিচ্যুত করা হয়েছে তার কারণ বলুন।
The audience was mostly businessmen.,দর্শকদের মধ্যে বেশিরভাগই ব্যবসায়ী ছিলো।
The police found the stolen jewelry.,পুলিশ চুরি যাওয়া গয়না উদ্ধার করেছে।
The village I live in is very small.,আমি যে গ্রামে থাকি সেটা খুব ছোটো।
There was no furniture in that room.,ওই ঘরে কোনো আসবাবপত্র ছিল না।
There's nothing as precious as love.,ভালোবাসার মতো মূল্যবান আর কিছু নেই।
Tom Jackson has written three books.,টম জ্যাকসন তিনটে বই লিখেছেন।
Tom almost forgot about the meeting.,টম মিটিঙ্গের কথাটা প্রায় ভুলেই গেছিলো।
Tom and Mary really liked Australia.,টম এবং মেরি সত্যিই অস্ট্রেলিয়াকে পছন্দ করেছিলো।
Tom called an ambulance immediately.,টম সাথে সাথেই একটি অ্যাম্বুলেন্স ডেকেছিলো।
Tom certainly plays the guitar well.,টম গীটারটা সত্যিই খুব ভালো বাজায়।
"Tom doesn't look too happy, does he?","টমকে খুব একটা খুশি দেখাচ্ছে না, তাই না?"
Tom eats lunch by himself every day.,টম প্রতিদিন নিজে নিজেই দুপুরের খাবার খায়।
Tom eats lunch by himself every day.,টম প্রতিদিন একাই দুপুরের খাবার খায়।
Tom has written more than 300 songs.,টম ৩০০র ও বেশি গান লিখেছে।
"Tom is going to Australia, isn't he?","টম অস্ট্রেলিয়া যাচ্ছে, তাই না?"
Tom reluctantly went to the dentist.,অনিচ্ছা সত্বেও টম দাঁতের ডাক্তারের কাছে গেলো।
Tom seems to be listening carefully.,টম খুব মন দিয়ে শুনছে বলে মনে হচ্ছে।
Tom should've been fired months ago.,টমকে কয়েক মাস আগেই বহিস্কার করা উচিত ছিল।
Turn right at the next intersection.,পরের মোড়টায় ডানদিকে বেঁকে যাবেন।
"Two glasses of orange juice, please.",দয়া করে আমাকে দুই গ্লাস কমলার রস দিন।
We can't sleep because of the noise.,আওয়াজের জন্য আমরা ঘুমাতে পারছি না।
We can't sleep because of the noise.,শব্দের জন্য আমরা ঘুমাতে পারছি না।
What I want is some peace and quiet.,আমি শান্তি এবং নীরবতা চাই।
What kind of clothes do you dislike?,কোন ধরণের কাপড় আপনি অপছন্দ করেন?
What time does the next train leave?,পরের ট্রেনটা কটার সময় ছাড়ে?
What was it you wanted to say to me?,তুমি আমাকে কী বলতে চেয়েছিলে?
When did you begin studying English?,তুমি ইংরাজি পড়া কবে থেকে শুরু করলে?
When did you begin studying English?,আপনি ইংরাজি পড়া কবে থেকে শুরু করলেন?
Where did Tom tell you he was going?,টম কোথায় যাচ্ছে বলে বলেছে তোমায়?
Where will you be working next year?,আপনি আগামী বছর কোথায় কাজ করবেন?
Who else came to Australia with you?,আপনার সাথে অস্ট্রেলিয়ায় আর কে এসেছে?
Why don't you call customer service?,আপনি কাস্টমার সারভিসে ফোন করছেন না কেন?
"Will you fill out this form, please?",আপনি কি অনুগ্রহ করে এই ফর্মটি পূরণ করবেন?
Would you please fill out this form?,আপনি কি অনুগ্রহ করে এই ফর্মটি পূরণ করবেন?
You have the right to remain silent.,আপনার চুপ থাকার অধিকার আছে।
You need to fish where the fish are.,যেখানে মাছ আছে তোমার সেখানে মাছ ধরা উচিত।
"You told Tom to do this, didn't you?","তুমি টমকে এটা করতে বলেছিলে, তাই না?"
"Do you speak German? ""No, I don't.""","আপনি কি জার্মান বলতে পারেন? ""না, আমি পারি না।"""
"Do you speak German? ""No, I don't.""","তুমি কি জার্মান বলতে পারো? ""না, আমি পারি না।"""
Any student can answer that question.,যে কোনো ছাত্রই ওই প্রশ্নের উত্তর দিতে পারে।
Can a virus damage computer hardware?,ভাইরাস কি কম্পিউটারের হার্ডওয়্যারের ক্ষতি করতে পারে?
Do you have this in any other colors?,আপনার কাছে এটা কি অন্য কোনো রঙের আছে?
Do you understand what I want to say?,আমি কী বলতে চাইছি আপনি বুঝতে পারছেন?
Do you understand what I want to say?,আমি যা বলতে চাইছি আপনি কি তা বুঝতে পারছেন?
Do you understand what I want to say?,আমি কী বলতে চাইছি তুমি বুঝতে পারছো?
Do you understand what I want to say?,আমি যা বলতে চাইছি তুমি কি তা বুঝতে পারছো?
Don't call me when I'm at the office.,আমি অফিসে থাকাকালীন আমাকে কল করবে না।
Have you finished writing your novel?,আপনি কি আপনার উপন্যাস লেখা শেষ করেছেন?
He attends the same school that I do.,"আমি যে স্কুলে যা, সে ঐ স্কুলেই যায়।"
He doesn't eat anything except fruit.,সে ফল ছাড়া অন্য কিছু খায় না।
He doesn't eat anything except fruit.,ও ফল ছাড়া অন্য কিছু খায় না।
He doesn't eat anything except fruit.,উনি ফল ছাড়া অন্য কিছু খান না।
He doesn't eat anything except fruit.,তিনি ফল ছাড়া অন্য কিছু খান না।
He was killed in a railroad accident.,ট্রেন দুর্ঘটনায় তিনি নিহত হন।
His dog follows him wherever he goes.,"তিনি যেখানে যেতেন, তাঁর কুকুর তাঁর পছনে পেছনে যেত।"
His dog follows him wherever he goes.,"উনি যেখানে যেখানে যেতেন, ওনার কুকুর ওনার পেছনে পেছনে যেত।"
His dog follows him wherever he goes.,"ও যেখানে যেখানে যেও, ওর কুকুর ওর পেছনে পেছনে যেত।"
His dog follows him wherever he goes.,"সে যেখানে যেখানে যেত, তার কুকুর তার পেছনে পেছনে যেত।"
How can I get to the hospital by bus?,আমি বাসে করে হাসপাতালে কিভাবে যাব?
How did you know I grew up in Boston?,আপনি কিভাবে জানেন যে আমি বোস্টনে বড় হয়েছি?
How long have you been out of prison?,কতদিন ধরে জেলের বাইরে আছেন?
How much does it cost for one person?,একজনের জন্য কত টাকা লাগবে?
I bought this medicine for my father.,এই অষুধটা আমি আমার বাবার জন্য কিনেছি।
I can't tell one twin from the other.,আমি একজন জমজের থেকে আর একজনকে আলাদা করে চিনতে পারি না।
I could swim faster when I was young.,আমি যখন ছোট ছিলাম তখন আমি দ্রুত সাঁতার কাটতে পারতাম।
I do not want to reply to his letter.,আমি এই চিঠিটার উত্তর দিতে চাই না।
I don't believe a word you're saying.,আপনার বলা একটি কথাও আমি বিশ্বাস করি না।
I don't think I'm likely to be fired.,আমি মনে করি না আমাকে বরখাস্ত করা হবে।
I don't think that I was disobedient.,আমি মনে করি না যে আমি অবাধ্য ছিলাম।
I don't think that Tom is aggressive.,আমি মনে করি না যে টম আক্রমণাত্মক।
I don't think we'll have enough time.,আমার মনে হয় না আমরা যথেষ্ট সময় পাবো।
I don't want Tom to see me like that.,আমি চাই না টম আমাকে ওই অবস্থায় দেখুক।
I don't want Tom to see me like this.,আমি চাই না টম আমাকে এই অবস্থায় দেখুক।
I don't want to lose you as a friend.,আমি তোমাকে বন্ধু হিসেবে হারাতে চাই না।
I guess you don't need new tires yet.,আমি মনে করি আপনার এখনই নতুন টায়ারের প্রয়োজন নেই।
"I just sell newspapers, nothing else.","আমি শুধু খবরের কাগজ বিক্রি করি, আর কিছু না।"
I knew Tom used to live in Australia.,আমি জানতাম টম অস্ট্রেলিয়ায় থাকত।
I know that we still love each other.,আমি জানি আমরা একে অপরকে এখনো ভালোবাসি।
I really don't want to eat right now.,আমি সত্যিই এখন খেতে চাই না।
I spent all afternoon in the library.,সারাটা বিকেল লাইব্রেরিতে কাটিয়ে দিলাম।
I suspect that Tom doesn't like Mary.,আমার সন্দেহ হয় টম মেরিকে পছন্দ করে না।
I think you shouldn't have said that.,আমি মনে করি তোমার ওটা বলা উচিত হয়নি।
I want to know why Tom is doing this.,আমাকে এটা বলো যে টম কেন এমন করছে।
I want to know why you're doing this.,আমি জানতে চাই আপনি কেন এটা করছেন।
I worked as a waiter for three years.,আমি ওয়েটার হিসাবে তিন বছর কাজ করেছি।
I'll return to Australia in two days.,আমি দুদিনে অস্ট্রেলিয়া ফিরে যাব।
I'm looking for an inexpensive hotel.,আমি একটা সস্তা হোটেল খুঁজছি।
I'm not at all interested in physics.,আমি পদার্থবিজ্ঞানে মোটেই আগ্রহী নই।
I'm not going to the movies tomorrow.,আগামীকাল আমি সিনেমা দেখতে যাব।
I'm not interested in physics at all.,আমি পদার্থবিজ্ঞানে মোটেই আগ্রহী নই।
I've been looking for it all morning.,আমি সারা সকাল ধরে এটি খুঁজছি।
"If you need a pen, I'll lend you one.",আপনার কলমের প্রয়োজন হলে আমি আপনাকে একটি কলম ধার দিতে পারি।
Is this your first time in Australia?,এটায় প্রথমবারের মতো অস্ট্রেলিয়ায় আসা না কি?
Is this your first time in Australia?,প্রথমবার অস্ট্রেলিয়ায় এসেছেন না কি?
It's not good to read in a dark room.,অন্ধকার ঘরে পড়া ভালো না।
It's obvious there's something wrong.,কিছু যে ভুল আছে তা স্পষ্ট।
Language is a means of communication.,ভাষা হোলো যোগাযোগের একটা মাধ্যম।
Nothing remained in the refrigerator.,ফ্রিজে আর কিছুই অবশিষ্ট রইলো না।
Something has happened to this clock.,এই ঘড়ির কিছু একটা হয়েছে।
Tell Tom that I'm still in a meeting.,টমকে বলুন যে আমি এখনও মিটিংএ রয়েছি।
The earth orbits the sun once a year.,পৃথিবী বছরে একবার সূর্যকে প্রদক্ষিণ করে।
The suspect began to confess at last.,সন্দেহভাজন ব্যক্তি শেষ পর্যন্ত স্বীকারোক্তি দিতে শুরু করেছে।
There's so much I want to say to you.,তোমাকে আমার অনেক কিছু বলার ইচ্ছে আছে।
There's so much I want to say to you.,আপনাকে আমার কত কিছু বলার ইচ্ছা আছে।
Tom came back to Boston last October.,টম গত অক্টোবর বস্টনে ফিরে এসেছে।
Tom has been crying almost every day.,টম প্রায় প্রত্যেক দিন কেঁদেছে।
Tom has been working here since 2013.,টম এখানে ২০১৩ থেকে কাজ করছে।
Tom has come to pick up his children.,টম ওর বাচ্চাদের নিতে এসেছে।
"Tom is tall, but not as tall as I am.","টম লম্বা, কিন্তু আমার মতো লম্বা নয়।"
Tom is the former owner of this club.,টম এই ক্লাবের সাবেক মালিক।
Tom is well aware of Mary's problems.,টম মেরির সমস্যা সম্পর্কে ভালো করেই জানে।
Tom seems interested in nothing else.,টম অন্য কিছুতে আগ্রহী বলে মনে হচ্ছে।
Tom told Mary that he had to do that.,টম মেরিকে বলেছিল যে তাকে এটি করতেই হবে।
Tom told me he wants to go to Boston.,টম আমাকে বললো যে সে বস্টন যেতে চায়।
Tom told me that he was glad to help.,টম আমাকে বলেছিলেন যে তিনি সাহায্য করতে পেরে আনন্দিত।
Tom usually goes to bed at ten-forty.,টম সাধারণত দশটা চল্লিশ নাগাদ শুতে যায়।
Tom was arrested for drunken driving.,টম মাতাল অবস্থায় গাড়ি চালাবার জন্য গ্রেফতার হয়েছে।
Translate this sentence into English.,এই বাক্যটি ইংরাজিতে অনুবাদ করুন।
Turn right at the end of that street.,রাস্তাটার শেষে ডানদিকে বেঁকে যাবেন।
We need to finish what we've started.,আমরা যা শুরু করেছি তা শেষ করতে হবে।
We were friends right from the start.,আমরা শুরু থেকেই বন্ধু ছিলাম।
We're going to see if we can do that.,আমরা তা করতে পারি কিনা তা দেখতে যাচ্ছি।
What do you do with your old clothes?,আপনার পুরাতন কাপড় আপনি কী করেন?
What languages are spoken in America?,আমেরিকাতে কোন কোন ভাষায় কথা বলা হয়?
What time does the first train leave?,প্রথম ট্রেনটা কটার সময় ছাড়ে?
Wouldn't it be better to do that now?,এটা এখন করলে ভালো হবে না?
"You're a science teacher, aren't you?","আপনি বিজ্ঞান শিক্ষক, তাই না?"
You're not going to get away with it.,আপনি এর থেকে পার পেয়ে যাবেন না।
Your daughter is not a child anymore.,তোমার মেয়ে আর বাচ্চা নেই।
A high school student made this robot.,হাইস্কুলের এক ছাত্র এই রোবটটি তৈরি করেছে।
"Air, like food, is a basic human need.",খাদ্যের মতো বায়ু মানুষের মৌলিক চাহিদা।
America's Civil War lasted four years.,আমেরিকার গৃহযুদ্ধ চার বছর স্থায়ী হয়েছিল।
Bad weather prevented us from leaving.,খারাপ আবহাওয়া আমাদের যেতে বাধা দিলো।
Bangladesh became independent in 1971.,বাংলাদেশ ১৯৭১ সালে স্বাধীনতা লাভ করে।
Bangladesh became independent in 1971.,১৯৭১ সালে বাংলাদেশ স্বাধীন হয়।
"Being very tired, I went to bed early.",খুব ক্লান্ত হওয়ায় আমি তাড়াতাড়ি ঘুমোতে গিয়েছিলাম।
Could you please repeat it once again?,আপনি কি অনুগ্রহ করে আর একবার বলতে পারবেন?
Does Tom enjoy watching horror movies?,টম কি ভৌতিক সিনেমা দেখতে পছন্দ করে?
Every student passed the driving test.,প্রত্যেক শিক্ষার্থীই ড্রাইভিং পরীক্ষায় উত্তীর্ণ হয়েছে।
"Frankly speaking, he is untrustworthy.",সত্যি বলতে তাকে বিশ্বাস করা যায় না।
He was given a gold watch as a reward.,পুরস্কার হিসেবে তাকে একটি সোনার ঘড়ি দেওয়া হয়।
How are you? Did you have a good trip?,কেমন আছেন? যাত্রা ভালো ছিল তো?
How are you? Did you have a good trip?,কেমন আছো? যাত্রা ভালো ছিল তো?
How many times do I have to apologize?,আমাকে কতবার ক্ষমা চাইতে হবে?
I can't believe I'm not getting fired.,বিশ্বাসই হচ্ছে না যে আমাকে বহিস্কার করা হচ্ছে না।
I could get fired if I didn't do that.,আমি তা না করলে চাকরিচ্যুত হতে পারতাম।
I don't feel like eating anything now.,আমার এখন কিছুই খেতে ইচ্ছে করছে না।
I don't know and I don't want to know.,আমি জানি না এবং জানতেও চাই না।
I don't understand what you're saying.,আপনি কি বলছেন আমি বুঝতে পারছি না।
I don't understand what you're saying.,তুমি কি বলছো আমি বুঝতে পারছি না।
I don't want to disappoint my parents.,আমি আমার বাবা-মাকে আশাহত করতে চাই না।
I don't want to talk about it anymore.,আমি এই ব্যাপারে আর কোনো কথা বলতে চাই না।
I don't want to talk about that today.,আমি আজ সেটা নিয়ে কথা বলতে চাই না।
I gave the beggar all the money I had.,ভিক্ষুককে আমার যত টাকা ছিল সব দিয়ে দিলাম।
I know a store where you can buy that.,আমি একটা দোকান চিনি যেখান থেকে আপনি ওইটা কিনতে পারবেন।
I know a store where you can buy that.,আমি একটা দোকান চিনি যেখান থেকে তুমি ওইটা কিনতে পারবে।
I need to ask you some more questions.,আমার আপনাকে আরও কিছু প্রশ্ন জিজ্ঞেস করা প্রয়োজন।
I once wanted to be an astrophysicist.,আমি একসময় জ্যোতির্বিজ্ঞানী হতে চেয়েছিলাম।
I still haven't found my contact lens.,আমি এখনো আমার কন্ট্যাক্ট লেন্সটি পাইনি।
I suspect that Tom isn't in Australia.,আমার সন্দেহ হচ্ছে যে টম অস্ট্রেলিয়ায় নেই।
I told them to send me another ticket.,আমি ওনাদের আর একটা টিকিট পাঠাতে বলেছি।
I used to believe everything you said.,আমি তোমার সব কথা বিশ্বাস করতাম।
I'm hoping to go to Boston next month.,আগামী মাসে আমার বোস্টন যাওয়ার আশা আছে।
I'm wondering what to cook for dinner.,রাতের খাবারের জন্য কী রান্না করবো সেটাই ভাবছি।
I've always been interested in robots.,আমি সর্বদা রোবোটে আগ্রহী ছিলাম।
Isaac Newton was an English physicist.,আইজ্যাক নিউটন ছিলেন একজন ইংরেজ পদার্থবিদ।
It rained continuously for three days.,তিন দিন ধরে বৃষ্টি পড়লো।
Japan imports oranges from California.,জাপান ক্যালিফোর্নিয়া থেকে কমলা আমদানি করে।
Let's not waste time arguing about it.,আসুন এটা নিয়ে তর্ক করে সময় নষ্ট না করি।
Ping pong is also called table tennis.,পিং পংকে টেবিল টেনিসও বলা হয়।
She has very nice-looking handwriting.,ওনার হাতের লেখা দেখতে খুব সুন্দর।
"Stop doing that, and get back to work.",এটা করা বাদ দিয়ে কাজে যাও।
"The Dutch flag is red, white and blue.","ডাচ পতাকা লাল, সাদা এবং নীল।"
The United States had nuclear weapons.,যুক্তরাষ্ট্রের কাছে পারমাণবিক অস্ত্র ছিল।
The bus is usually late when it rains.,বৃষ্টি হলে বাসটা সাধারণত দেরিতে আসে।
The murderer hasn't been arrested yet.,খুনিকে এখনো গ্রেপ্তার করা হয়নি।
The two countries negotiated a treaty.,দেশ দুটি নিজেদের মধ্যে একটি চুক্তি সম্পাদিত করলো।
The virus spread faster than wildfire.,ভাইরাসটি দাবানলের চেয়েও দ্রুত ছড়িয়ে পড়তে পারে।
They say that she was born in Germany.,লোকে বলে যে তিনি জার্মানিতে জন্মগ্রহণ করেছিলেন।
This book is also available in French.,এই বইটা ফরাসিতেও পাওয়া যায়।
This book is only available in French.,এই বইটা শুধু ফরাসিতেই পাওয়া যায়।
This doesn't look like Tom's umbrella.,মনে হয় না এটা টমের ছাতা।
Tom died during his stay in Australia.,টম অস্ট্রেলিয়ায় থাকার সময় মারা যান।
Tom doesn't know Mary is in Australia.,মেরি অস্ট্রেলিয়ায় আছে তা টম জানে না।
Tom doesn't usually eat lunch at home.,টম সাধারণত বাড়িতে দুপুরের খাবার খায় না।
Tom invited me to a party at his home.,টম আমাকে তার বাড়িতে একটি পার্টিতে আমন্ত্রণ জানিয়েছে।
Tom is afraid that he might get fired.,টম ভয় পাচ্ছে যে তাকে বরখাস্ত করা হতে পারে।
Tom lives in a small town near Boston.,টম বস্টনের কাছে একটা ছোট শহরে থাকে।
Tom reads the newspaper every morning.,টম প্রতিদিন সকালে খবরের কাগজ পড়ে।
Tom said that I don't need to do that.,টম বলল যে আমার এটা করার দরকার নেই।
Tom told me that he's never done that.,টম আমাকে বলেছে সে এটা করেনি।
Tom was taken to hospital unconscious.,টমকে অজ্ঞান অবস্থায় হাসপাতালে নেওয়া হয়েছিল।
Tom's response wasn't what I expected.,টমের প্রতিক্রিয়া আমি যা আশা করেছিলাম তা ছিলো না।
Turn left at the second traffic light.,দ্বিতীয় ট্রাফিক লাইটে বাঁদিকে বেঁকে যাবেন।
We could all learn something from Tom.,আমরা সবাই টমের কাছ থেকে কিছু শিখতে পারি।
We must keep up the family traditions.,আমাদের পারিবারিক ঐতিহ্য ধরে রাখতে হবে।
Where is the boarding gate for UA 111?,UA 111 তে ওঠার দরজাটা কোথায়?
Who is that beautiful girl over there?,ওখানের ঐ সুন্দরী মেয়েটা কে?
Would you like to watch another movie?,আপনি কি অন্য সিনেমা দেখতে চান?
You can stay here as long as you like.,আপনি এখানে যতক্ষণ ইচ্ছে থাকতে পারেন।
You can stay here as long as you like.,তুমি এখানে যতক্ষণ ইচ্ছে থাকতে পারো।
You haven't told me about your mother.,তুমি আমাকে তোমার মায়ের কথা বলোনি।
You may stay here as long as you like.,আপনি এখানে যতক্ষণ ইচ্ছে থাকতে পারেন।
You may stay here as long as you like.,তুমি এখানে যতক্ষণ ইচ্ছে থাকতে পারো।
You'll need a ticket to travel by bus.,বাসে করে ঘুরতে হলে আপনাকে টিকিট কাটতে হবে।
Your help is necessary to our success.,আমাদের সাফল্যের জন্য আপনার সাহায্য একান্ত প্রয়োজন।
A lot of people attended Tom's funeral.,টমের অন্ত্যেষ্টিক্রিয়াতে অনেকে অংশগ্রহণ করেছিল।
Are we going to talk about this or not?,আমরা এই বিষয়ে কথা বলব কি না?
"As far as I know, Tom is still married.","আমি যতদূর জানি, টম এখনও বিবাহিত।"
At what age do you want to get married?,তুমি কত বছর বয়সে বিয়ে করতে চাও?
Better a small fish than an empty dish.,নাই মামার চেয়ে কানা মামা ভালো।
Class doesn't begin until eight-thirty.,সাড়ে আটটার আগে ক্লাস শুরু হয় না।
Common interests bring people together.,সাধারণ স্বার্থ মানুষকে একত্রিত করে।
Could you please speak a little slower?,আপনি কি অনুগ্রহ করে আরেকটু ধীরে ধীরে কথা বলতে পারবেন?
Could you speak a little louder please?,আপনি কি অনুগ্রহ করে আরেকটু জোরে কথা বলতে পারবেন?
Did you know men can get breast cancer?,আপনি কি জানেন যে পুরুষদেরও স্তন ক্যান্সার হতে পারে?
Do you know how to pronounce this word?,আপনি জানেন এই শব্দটির উচ্চারণ কিভাবে করতে হয়?
He has worked in France his whole life.,তিনি সারা জীবন ফ্রান্সে কাজ করেছেন।
How long do you study French every day?,তুমি প্রিতিদিন কত ঘন্টা করে ফরাসি শেখো?
How long has Tom been living in Boston?,টম বস্টনে কত বছর ধরে আছে?
How much does it cost to get to Boston?,বস্টন যাওয়ার জন্য কত খরচা পরবে?
How much money did you expect to spend?,আপনি কত টাকা খরচ করার আশা করেছিলেন?
I bought a pound of meat the other day.,আমি অন্যদিন এক পাউন্ড মাংস কিনেছিলাম।
I can't believe we're going to do that.,আমি বিশ্বাস করতে পারছি না যে আমরা এটা করতে যাচ্ছি।
I didn't know Tom was such a good cook.,আমি জানতাম না টম এত ভালো রাঁধুনি।
I didn't know what was really going on.,আমি সত্যিই কী ঘটছে জানতাম না।
I don't know exactly when I'll be back.,আমি কখন ফিরে আসবো ঠিক করে জানি না।
I don't know what kind of person he is.,তিনি কেমন মানুষ আমি জানি না।
I don't think that it'll rain tomorrow.,আমার মনে হয় না কালকে বৃষ্টি হবে।
I don't understand what you are saying.,আপনি কি বলছেন আমি বুঝতে পারছি না।
I don't understand what you are saying.,তুমি কি বলছো আমি বুঝতে পারছি না।
I don't want to eat anything right now.,আমি এখন কিছুই খেতে চাই না।
I know you think this is too expensive.,আমি জানি তুমি এটাকে অনেক ব্যয়বহুল মনে করো।
I need more time to finish my homework.,বাড়ির কাজ শেষ করার জন্য আমার আরও সময় দরকার।
I stopped so I could smoke a cigarette.,আমি থেমেছিলাম যাতে একটা সিগারেট খেতে পারি।
I thought that it might be complicated.,আমি ভেবেছিলাম এটা জটিল হতে পারে।
I wonder whether Tom wants that or not.,আমি ভাবছি টম সেটা চায় কি না।
I'd like to check out tomorrow morning.,আমি কাল সকালে ঘরটা ছেরে দিতে চাই।
I'll be back by seven or eight o'clock.,আমি সাতটা বা আটটা সময়ের আগে ফিরে আসবো।
I'm drinking water because I'm thirsty.,আমি তৃষ্ণার্ত বলে পানি খাচ্ছি।
I'm going to a conference in Australia.,আমি অস্ট্রেলিয়ায় একটি সম্মেলনে যাচ্ছি।
I'm looking forward to summer vacation.,আমি গ্রীষ্মের ছুটির অপেক্ষায় আছি।
I'm proud to be a part of this project.,আমি এই প্রকল্পের একটি অংশ হয়ে গর্বিত।
I've done some things I'm not proud of.,আমি এমন কিছু কাজ করেছি যাতে আমি গর্বিত নই।
"If you eat too much, you'll become fat.",বেশি খেলে মোটা হয়ে যাবেন।
It looks like I'm going to arrive late.,দেখে মনে হচ্ছে আমার পৌছাত দেরি হয়ে যাবে।
Maybe we should talk to Tom about that.,হয়তো আমাদের টমের সাথে এই বিষয়ে কথা বলা উচিত।
My mom doesn't speak English very well.,আমার মা খুব ভালো ইংরেজি বলতে পারেন না।
Names are listed in alphabetical order.,নামগুলি বর্ণানুক্রমে লিপিবদ্ধ করা আছে।
Nobody else was involved in the murder.,এই খুনে আর কেউ জড়িত ছিল না।
Oranges are a good source of vitamin C.,কমলা ভিটামিন সি-এর ভালো উৎস।
She acknowledged having made a mistake.,উনি যে ভুল করেছিলেন সেটা স্বীকার করলেন।
"Talking is one thing, doing is another.",বলা আর করার মধ্যে পার্থক্য আছে।
"Talking is one thing, doing is another.","বলা এক জিনিস, করা অন্য জিনিস।"
The Civil War lasted from 1861 to 1865.,গৃহযুদ্ধ ১৮৬১ থেকে ১৮৬৫ সাল পর্যন্ত চলে।
The Second World War broke out in 1939.,১৯৩৯ সালে দ্বিতীয় বিশ্বযুদ্ধ শুরু হয়।
The explosion frightened the villagers.,বিস্ফোরণে গ্রামবাসীরা আতঙ্কিত হয়ে পড়ে।
The way you treat people is disgusting.,আপনি মানুষের সাথে যে আচরণ করেন তা জঘন্য।
Their parents tried to keep them apart.,তাদের বাবা-মায়েরা তাদেরকে দূরে রাখতে চেষ্টা করেছিলেন।
There's something seriously wrong here.,এখানে গুরুতর কিছু ভুল আছে।
Things like that only happen in movies.,এমন ঘটনা শুধু সিনেমাতেই ঘটে।
Those who know me know I won't do that.,যারা আমাকে চেনেন তারা জানেন আমি এটা করব না।
"Tom didn't need to do that, but he did.","টমের সেটা করার দরকার ছিল না, কিন্তু সে করেছে।"
Tom doesn't usually read the newspaper.,টম সাধারণত সংবাদপত্র পড়ে না।
Tom said Mary could've done that alone.,টম বলল যে মেরি একাই এটা করতে পারত।
Tom said he thought Mary was in Boston.,টম বলেছিল যে সে ভেবেছিল মেরি বোস্টনে আছেন।
Tom shouldn't have spent so much money.,টমের এত টাকা খরচা করা উচিৎ হয়নি।
Tom won't be able to come over tonight.,টম আজ রাতে আসতে পারবে না।
Tom worked in a bank from 1999 to 2013.,টম ১৯৯৯ থেকে ২০১৩ সাল পর্যন্ত একটি ব্যাংকে কাজ করেছেন।
Try not to make the same mistake twice.,একই ভুল দুবার না করার চেষ্টা করুন।
Viruses are much smaller than bacteria.,ব্যাকটেরিয়ার চেয়ে ভাইরাস অনেক ছোট।
We'll never be able to play any better.,আমরা কখনই এর থেকে ভালো খেলতে পারবো না।
We're not yet sure what the problem is.,আমারা সমস্যাটার ব্যাপারে এখনো নিশ্চিত হইনি।
